id,x,y,colour
1,-1.97,1.9,blue
20,23.88,-1.25,yellow
19,27.96,3.16,blue
5,3.89,7.12,blue
27,37.89,-4.42,blue
17,24.82,6.04,blue
29,39.8,-4.86,blue
14,15.76,4.19,yellow
16,18.52,3.3,yellow
25,35.89,-3.75,blue
4,5.09,0.15,yellow
6,7.33,2.58,yellow
12,13.88,4.76,yellow
10,12.23,4.57,yellow
15,21.87,8.22,blue
7,6.94,9.27,blue
3,1.01,4.99,blue
9,10.65,10.79,blue
13,18.55,9.89,blue
24,29.32,-6.73,yellow
28,36.34,-10.35,yellow
26,32.69,-9.02,yellow
2,1.92,-2.35,yellow
11,14.78,11.05,blue
22,26.38,-4.12,yellow
8,10.01,4.12,yellow
18,20.84,1.22,yellow
23,33.05,-2.07,blue
21,30.72,0.16,blue
30,39.8,-11.07,yellow
